DATE;PLUIE;TMIN;TMAX;TMOY;UMIN;UMAX;UMOY
13/01/2026;0;4;10.9;7.45;60;80;70
12/01/2026;0;4.4;10.9;7.65;55;80;67.5
11/01/2026;0;3.7;11.1;7.4;55;85;70
10/01/2026;0.2;6.9;11.5;9.2;65;85;75
09/01/2026;0.2;5.9;13.7;9.8;60;85;72.5
08/01/2026;0.1;0.7;12.4;6.55;55;80;67.5
07/01/2026;;;;;;;
06/01/2026;;;;;;;
05/01/2026;;;;;;;
04/01/2026;;;;;;;
03/01/2026;;;;;;;
02/01/2026;;;;;;;
01/01/2026;;;;;;;
31/12/2025;;;;;;;
30/12/2025;0;0.0092982056004758;6.8223703529606;2.8069710594539;52.423180508198;90.423180508198;70.307389271384
29/12/2025;0;-0.64002600232123;11.328305141619;3.2372888792653;55.646884037804;94;82.335884390022
28/12/2025;0;1.5024229525998;9.3518215188292;4.3442430239883;55;87;76.419555040122
27/12/2025;0;1.7305228318102;12.151821518829;5.7500696427352;55.646884037804;93;77.760636878122
26/12/2025;1.2764836227901;3.8658344280297;10.575337896039;6.1460713957802;67.576819491802;89;79.064299264475
25/12/2025;2.3635423795311;2.8646884037804;8.1741918717899;4.9496793331192;70.258081282101;94;82.284927601625
24/12/2025;0;3.4;8.2165099226097;6.2961590502014;62;89.834900773903;73.143164450697
23/12/2025;11.775001729529;7.86812617903;10.817655946859;9.2242748150809;82.741918717899;98;90.746125747666
22/12/2025;39.705125525916;9.1092982056005;13.44231805082;10.627166611222;73;99;90.735935273062
21/12/2025;25.761136941947;10.729376807561;14.673986609381;12.082304561943;75.353115962196;96.646884037804;89.850433801029
20/12/2025;0.074191871789857;10.48463610164;15.150470232171;12.576683708759;83.353115962196;96;91.430541320182
19/12/2025;8.6210368788165;11.717581588551;13.22580812821;12.308191302234;78.741918717899;97.353115962196;90.27706988625
18/12/2025;0.035311596219557;8.1658341305314;14.5070064546;11.377202674182;77.353115962196;99;87.694104976269
17/12/2025;0;8.4;14.784841364049;10.809515259398;76.576819491802;99;93.549077730609
16/12/2025;17.562413870298;9.6540389115217;14.640966764162;12.050374578249;78.188016736099;97;90.766708483595
15/12/2025;1.0847104599473;7.8233108173026;14.18463610164;12.275315906168;66.576819491802;93;77.356528967249
14/12/2025;0;3.9635426770295;13.02351637721;7.2142662522335;71;97.388802755703;89.197634365997
13/12/2025;0;7.7730461450389;15.81650992261;10.856083338302;56.258081282101;90.646884037804;78.194261308472
12/12/2025;0;10.731668558561;14.12351637721;12.010958060915;68.929935453997;96.353115962196;83.725352814358
11/12/2025;0.083490077390333;9.506800894693;14.32351637721;11.987200143437;84.611197244297;98.353115962196;93.31921406302
10/12/2025;3.5976517032063;12.22580812821;15.06812617903;13.175529494539;78;96.188016736099;85.668215457695
09/12/2025;0;5.7018812261823;13.990496531991;10.966620401052;81.576819491802;99;90.926605102592
08/12/2025;0;6.4785701113814;16.801146024249;11.219012457526;63.070064546003;98;85.151697047522
07/12/2025;0;3.7184655070997;15.156535924931;8.6687763774189;69.516162564203;96.576819491802;88.210511303378
06/12/2025;0.038880275570299;3.4022917510002;10.12580812821;6.5328333380658;72.965622247505;97.834900773903;86.711276250164
05/12/2025;0;1.6151586359514;12.44002629982;6.432006933325;53;100;80.328974272973
04/12/2025;0.016509922609667;2.3552589965804;10.543669337478;5.9732985058308;69;100;87.661243623305
03/12/2025;36.45721458107;6.1458867301706;10.121019066302;8.1735690418542;90;97;93.862367679416
02/12/2025;6.5896866742515;2.2702123701229;11.32580812821;7.8092362213762;73.423180508198;97.576819491802;89.778642361983
01/12/2025;0;1.9893505077413;12.101146024249;6.5997068682703;47;92.070064546003;68.774542514266
30/11/2025;0;5.6644828438731;12.96468840378;9.5411177242673;71.776296470394;92.481784811708;77.951884463564
29/11/2025;0;4.3398207399123;15.133019845219;8.2483893618524;60.646884037804;91.188016736099;77.270990858895
28/11/2025;0;5.3540389115217;13.63531159622;9.0708860351649;51.353115962196;80.576819491802;62.970519002484
27/11/2025;0;4.662265748679;10.48349007739;7.0184263665881;44;62;53.322603383369
26/11/2025;0;5.1588279734295;10.997708249;7.5194238367513;41;76.576819491802;56.975566448527
25/11/2025;0;4.089144947834;13.614218171609;8.0214243099615;47.423180508198;97;69.622410786718
24/11/2025;2.3730458475406;6.7977082489998;16.24002629982;9.4979355918603;69.611197244297;98.576819491802;92.204936343188
23/11/2025;0;-1.343669337478;9.9165099226097;4.7206808350968;45;92;63.946900525797
22/11/2025;0;1.27284088263;8.8646884037804;4.823679293001;25;51.929935453997;40.006933553838
21/11/2025;0;-0.018801376111534;7.4165099226097;3.8410094858046;36.811983263901;68;48.831392434247
20/11/2025;0;0.95882797342948;9.9188016736099;5.7243895892885;36.423180508198;75.235163772099;58.365648036971
19/11/2025;0;1.2235163772099;12.42580812821;5.6407908474459;29.165099226097;78.977082489998;61.24737980409
18/11/2025;0;3.7481784811708;11.36111972443;7.8416441319199;37.646884037804;67.188016736099;52.434151696581
17/11/2025;0;8.2318735234717;18.858827973429;11.426552044612;50.388802755703;98;73.645998280776
16/11/2025;1.4188016736099;9.7728405851316;20.073986609381;16.323721577278;55.646884037804;94;83.227984609802
15/11/2025;0;15.648178481171;20.26111972443;17.772395869875;63;90;81.203817940769
14/11/2025;0.71880167360989;9.9233108173026;19.28119832639;15.896426212103;63.165099226097;90.811983263901;75.216815926115
13/11/2025;0;11.055184638273;19.12351637721;14.640274906931;70;99.741918717899;85.002111703178
12/11/2025;0;9.1927136271847;19.34231805082;14.318975739148;69.423180508198;94;85.850158325561
