"plot_id";"PM_LEAF_PC";"bbch_stage";"observation_date"
"10A";0;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";5;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";10;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";10;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";5;"BBCH 77";"2024-06-25"
"10A";10;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";5;"BBCH 77";"2024-06-25"
"10A";10;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";5;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";2;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";2;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";5;"BBCH 77";"2024-06-25"
"10A";20;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";5;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";5;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";20;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";5;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";10;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";5;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";5;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";5;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";10;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";1;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
"10A";5;"BBCH 77";"2024-06-25"
"10A";0;"BBCH 77";"2024-06-25"
